67.3478745623,67.8581180051
5.6642538402,48.2135668863
35.1376178442,72.6181258913
69.4347070297,68.8809887273
48.5775097273,31.2673446257
19.6165683912,91.3392161485
42.8238184191,5.6765278801
79.9569681287,65.8053444
48.5229448648,86.296937638
2.627607435,3.7019714015
15.1553801727,55.7025950868
77.732110396,56.8189336453
86.6942291846,41.0928674508
96.1674467428,16.170787625
69.59705716,84.0519346064
21.8740586191,93.3442695066
16.5409603622,58.9960187441
23.3892464079,70.3730739886
43.3976945467,63.5750673711
81.92772232,98.9295825828
